Era 1
Expected = path, 	 Predicted = sky, 	 Log of the likelihood = -58.43
Expected = path, 	 Predicted = sky, 	 Log of the likelihood = -64.51
Expected = path, 	 Predicted = brickface, 	 Log of the likelihood = -54.27
Expected = path, 	 Predicted = sky, 	 Log of the likelihood = -58.34
Expected = path, 	 Predicted = brickface, 	 Log of the likelihood = -53.68
Expected = path, 	 Predicted = brickface, 	 Log of the likelihood = -56.35
Expected = path, 	 Predicted = brickface, 	 Log of the likelihood = -55.12
Expected = path, 	 Predicted = brickface, 	 Log of the likelihood = -53.56
Expected = path, 	 Predicted = path, 	 Log of the likelihood = -68.17
Expected = path, 	 Predicted = sky, 	 Log of the likelihood = -55.51
Expected = path, 	 Predicted = brickface, 	 Log of the likelihood = -54.75
Expected = path, 	 Predicted = brickface, 	 Log of the likelihood = -54.98
Expected = sky, 	 Predicted = brickface, 	 Log of the likelihood = -54.66
Expected = sky, 	 Predicted = brickface, 	 Log of the likelihood = -64.58
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -58.04
Expected = sky, 	 Predicted = brickface, 	 Log of the likelihood = -54.10
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -102.23
Expected = sky, 	 Predicted = brickface, 	 Log of the likelihood = -55.46
Expected = sky, 	 Predicted = brickface, 	 Log of the likelihood = -54.11
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -56.32
Expected = sky, 	 Predicted = brickface, 	 Log of the likelihood = -53.86
Expected = sky, 	 Predicted = brickface, 	 Log of the likelihood = -55.66
Expected = sky, 	 Predicted = brickface, 	 Log of the likelihood = -59.60
Expected = sky, 	 Predicted = brickface, 	 Log of the likelihood = -78.53
Expected = sky, 	 Predicted = brickface, 	 Log of the likelihood = -53.69
Expected = sky, 	 Predicted = path, 	 Log of the likelihood = -61.71
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -58.24
Expected = sky, 	 Predicted = brickface, 	 Log of the likelihood = -57.30
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -55.36
Expected = sky, 	 Predicted = brickface, 	 Log of the likelihood = -55.88
Expected = sky, 	 Predicted = path, 	 Log of the likelihood = -54.87
Expected = sky, 	 Predicted = brickface, 	 Log of the likelihood = -56.08
Expected = sky, 	 Predicted = brickface, 	 Log of the likelihood = -54.61
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -54.89
Expected = sky, 	 Predicted = brickface, 	 Log of the likelihood = -55.13
Expected = sky, 	 Predicted = brickface, 	 Log of the likelihood = -53.97
Expected = sky, 	 Predicted = brickface, 	 Log of the likelihood = -55.45
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -55.61
Expected = sky, 	 Predicted = brickface, 	 Log of the likelihood = -59.74
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -55.75
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -56.70
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -58.69
Expected = sky, 	 Predicted = brickface, 	 Log of the likelihood = -54.96
Expected = sky, 	 Predicted = brickface, 	 Log of the likelihood = -53.94
Expected = sky, 	 Predicted = brickface, 	 Log of the likelihood = -53.72
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -58.69
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -59.41
Expected = sky, 	 Predicted = brickface, 	 Log of the likelihood = -54.06
Expected = sky, 	 Predicted = brickface, 	 Log of the likelihood = -54.10
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -88.76
Expected = sky, 	 Predicted = brickface, 	 Log of the likelihood = -53.84
Expected = sky, 	 Predicted = brickface, 	 Log of the likelihood = -54.38
Expected = sky, 	 Predicted = brickface, 	 Log of the likelihood = -56.92
Expected = sky, 	 Predicted = brickface, 	 Log of the likelihood = -55.49
Expected = sky, 	 Predicted = brickface, 	 Log of the likelihood = -60.38
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -56.28
Expected = sky, 	 Predicted = brickface, 	 Log of the likelihood = -53.65
Expected = sky, 	 Predicted = brickface, 	 Log of the likelihood = -59.67
Expected = sky, 	 Predicted = brickface, 	 Log of the likelihood = -55.44
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -55.50
Expected = sky, 	 Predicted = brickface, 	 Log of the likelihood = -54.82
Expected = sky, 	 Predicted = brickface, 	 Log of the likelihood = -54.30
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -58.90
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -58.62
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -56.40
Expected = sky, 	 Predicted = brickface, 	 Log of the likelihood = -65.00
Expected = sky, 	 Predicted = path, 	 Log of the likelihood = -54.87
Expected = sky, 	 Predicted = path, 	 Log of the likelihood = -57.18
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -57.85
Expected = sky, 	 Predicted = brickface, 	 Log of the likelihood = -55.92
Expected = sky, 	 Predicted = path, 	 Log of the likelihood = -54.31
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -55.49
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -54.90
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -55.23
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -58.64
Expected = sky, 	 Predicted = brickface, 	 Log of the likelihood = -64.81
Expected = sky, 	 Predicted = brickface, 	 Log of the likelihood = -55.72
Expected = sky, 	 Predicted = brickface, 	 Log of the likelihood = -55.99
Expected = sky, 	 Predicted = path, 	 Log of the likelihood = -58.18
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -56.85
Expected = sky, 	 Predicted = brickface, 	 Log of the likelihood = -54.16
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -58.26
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -56.13
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -57.51
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -58.57
Expected = sky, 	 Predicted = brickface, 	 Log of the likelihood = -56.38
Expected = sky, 	 Predicted = path, 	 Log of the likelihood = -58.29
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -56.02
Expected = sky, 	 Predicted = brickface, 	 Log of the likelihood = -54.38
Expected = sky, 	 Predicted = brickface, 	 Log of the likelihood = -66.59
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -56.91
Expected = sky, 	 Predicted = brickface, 	 Log of the likelihood = -62.14
Expected = sky, 	 Predicted = path, 	 Log of the likelihood = -56.37
Expected = sky, 	 Predicted = path, 	 Log of the likelihood = -58.26
Expected = sky, 	 Predicted = brickface, 	 Log of the likelihood = -54.98
Expected = sky, 	 Predicted = brickface, 	 Log of the likelihood = -55.87
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -55.76
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -60.06
Expected = sky, 	 Predicted = brickface, 	 Log of the likelihood = -58.11
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -56.16
Expected = sky, 	 Predicted = path, 	 Log of the likelihood = -54.65
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -64.51
Expected = sky, 	 Predicted = brickface, 	 Log of the likelihood = -54.27
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -58.34
Expected = sky, 	 Predicted = brickface, 	 Log of the likelihood = -53.68
Expected = sky, 	 Predicted = brickface, 	 Log of the likelihood = -56.35
Expected = sky, 	 Predicted = brickface, 	 Log of the likelihood = -55.12
Expected = sky, 	 Predicted = brickface, 	 Log of the likelihood = -53.56
Expected = sky, 	 Predicted = path, 	 Log of the likelihood = -68.17
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -55.51
Expected = sky, 	 Predicted = brickface, 	 Log of the likelihood = -54.75
Expected = sky, 	 Predicted = brickface, 	 Log of the likelihood = -54.98
Expected = brickface, 	 Predicted = brickface, 	 Log of the likelihood = -54.66
Expected = brickface, 	 Predicted = brickface, 	 Log of the likelihood = -64.58
Expected = brickface, 	 Predicted = sky, 	 Log of the likelihood = -58.04
Expected = brickface, 	 Predicted = brickface, 	 Log of the likelihood = -54.10
Expected = brickface, 	 Predicted = sky, 	 Log of the likelihood = -102.23
Expected = brickface, 	 Predicted = brickface, 	 Log of the likelihood = -55.46
Expected = brickface, 	 Predicted = brickface, 	 Log of the likelihood = -54.11
Expected = brickface, 	 Predicted = sky, 	 Log of the likelihood = -56.32
Expected = brickface, 	 Predicted = brickface, 	 Log of the likelihood = -53.86
Expected = brickface, 	 Predicted = brickface, 	 Log of the likelihood = -55.66
Expected = brickface, 	 Predicted = brickface, 	 Log of the likelihood = -59.60
Expected = brickface, 	 Predicted = brickface, 	 Log of the likelihood = -78.53
Expected = brickface, 	 Predicted = brickface, 	 Log of the likelihood = -53.69
Expected = brickface, 	 Predicted = path, 	 Log of the likelihood = -61.71
Expected = brickface, 	 Predicted = sky, 	 Log of the likelihood = -58.24
Expected = brickface, 	 Predicted = brickface, 	 Log of the likelihood = -57.30
Expected = brickface, 	 Predicted = sky, 	 Log of the likelihood = -55.36
Expected = brickface, 	 Predicted = brickface, 	 Log of the likelihood = -55.88
Expected = brickface, 	 Predicted = path, 	 Log of the likelihood = -54.87
Expected = brickface, 	 Predicted = brickface, 	 Log of the likelihood = -56.08
Expected = brickface, 	 Predicted = brickface, 	 Log of the likelihood = -54.61
Expected = brickface, 	 Predicted = sky, 	 Log of the likelihood = -54.89
Expected = brickface, 	 Predicted = brickface, 	 Log of the likelihood = -55.13
Expected = brickface, 	 Predicted = brickface, 	 Log of the likelihood = -53.97
Expected = brickface, 	 Predicted = brickface, 	 Log of the likelihood = -55.45
Expected = brickface, 	 Predicted = sky, 	 Log of the likelihood = -55.61
Expected = brickface, 	 Predicted = brickface, 	 Log of the likelihood = -59.74
Expected = brickface, 	 Predicted = sky, 	 Log of the likelihood = -55.75
Expected = brickface, 	 Predicted = sky, 	 Log of the likelihood = -56.70
Expected = brickface, 	 Predicted = sky, 	 Log of the likelihood = -58.69
Expected = brickface, 	 Predicted = brickface, 	 Log of the likelihood = -54.96
Expected = brickface, 	 Predicted = brickface, 	 Log of the likelihood = -53.94
Expected = brickface, 	 Predicted = brickface, 	 Log of the likelihood = -53.72
Expected = brickface, 	 Predicted = sky, 	 Log of the likelihood = -58.69
Expected = brickface, 	 Predicted = sky, 	 Log of the likelihood = -59.41
Expected = brickface, 	 Predicted = brickface, 	 Log of the likelihood = -54.06
Expected = brickface, 	 Predicted = brickface, 	 Log of the likelihood = -54.10
Expected = brickface, 	 Predicted = sky, 	 Log of the likelihood = -88.76
Expected = brickface, 	 Predicted = brickface, 	 Log of the likelihood = -53.84
Expected = brickface, 	 Predicted = brickface, 	 Log of the likelihood = -54.38
Expected = brickface, 	 Predicted = brickface, 	 Log of the likelihood = -56.92
Expected = brickface, 	 Predicted = brickface, 	 Log of the likelihood = -55.49
Expected = brickface, 	 Predicted = brickface, 	 Log of the likelihood = -60.38
Expected = brickface, 	 Predicted = sky, 	 Log of the likelihood = -56.28
Expected = brickface, 	 Predicted = brickface, 	 Log of the likelihood = -53.65
Expected = brickface, 	 Predicted = brickface, 	 Log of the likelihood = -59.67
Expected = brickface, 	 Predicted = brickface, 	 Log of the likelihood = -55.44
Expected = brickface, 	 Predicted = sky, 	 Log of the likelihood = -55.50
Expected = brickface, 	 Predicted = brickface, 	 Log of the likelihood = -54.82
Expected = brickface, 	 Predicted = brickface, 	 Log of the likelihood = -54.30
Expected = brickface, 	 Predicted = sky, 	 Log of the likelihood = -58.90
Expected = brickface, 	 Predicted = sky, 	 Log of the likelihood = -58.62
Expected = brickface, 	 Predicted = sky, 	 Log of the likelihood = -56.40
Expected = brickface, 	 Predicted = brickface, 	 Log of the likelihood = -65.00
Expected = brickface, 	 Predicted = path, 	 Log of the likelihood = -54.87
Expected = brickface, 	 Predicted = path, 	 Log of the likelihood = -57.18
Expected = brickface, 	 Predicted = sky, 	 Log of the likelihood = -57.85
Expected = brickface, 	 Predicted = brickface, 	 Log of the likelihood = -55.92
Expected = brickface, 	 Predicted = path, 	 Log of the likelihood = -54.31
Expected = brickface, 	 Predicted = sky, 	 Log of the likelihood = -55.49
Expected = brickface, 	 Predicted = sky, 	 Log of the likelihood = -54.90
Expected = brickface, 	 Predicted = sky, 	 Log of the likelihood = -55.23
Expected = brickface, 	 Predicted = sky, 	 Log of the likelihood = -58.64
Expected = brickface, 	 Predicted = brickface, 	 Log of the likelihood = -64.81
Expected = brickface, 	 Predicted = brickface, 	 Log of the likelihood = -55.72
Expected = brickface, 	 Predicted = brickface, 	 Log of the likelihood = -55.99
Expected = brickface, 	 Predicted = path, 	 Log of the likelihood = -58.18
Expected = brickface, 	 Predicted = sky, 	 Log of the likelihood = -56.85
Expected = brickface, 	 Predicted = brickface, 	 Log of the likelihood = -54.16
Expected = brickface, 	 Predicted = sky, 	 Log of the likelihood = -58.26
Expected = brickface, 	 Predicted = sky, 	 Log of the likelihood = -56.13
Expected = brickface, 	 Predicted = sky, 	 Log of the likelihood = -57.51
Expected = brickface, 	 Predicted = sky, 	 Log of the likelihood = -58.57
Expected = brickface, 	 Predicted = brickface, 	 Log of the likelihood = -56.38
Expected = brickface, 	 Predicted = path, 	 Log of the likelihood = -58.29
Expected = brickface, 	 Predicted = sky, 	 Log of the likelihood = -56.02
Expected = brickface, 	 Predicted = brickface, 	 Log of the likelihood = -54.38
Expected = brickface, 	 Predicted = brickface, 	 Log of the likelihood = -66.59
Expected = brickface, 	 Predicted = sky, 	 Log of the likelihood = -56.91
Expected = brickface, 	 Predicted = brickface, 	 Log of the likelihood = -62.14
Expected = brickface, 	 Predicted = path, 	 Log of the likelihood = -56.37
Expected = brickface, 	 Predicted = path, 	 Log of the likelihood = -58.26
Expected = brickface, 	 Predicted = brickface, 	 Log of the likelihood = -54.98
Expected = brickface, 	 Predicted = brickface, 	 Log of the likelihood = -55.87
Expected = brickface, 	 Predicted = sky, 	 Log of the likelihood = -55.76
Expected = brickface, 	 Predicted = sky, 	 Log of the likelihood = -60.06
Expected = brickface, 	 Predicted = brickface, 	 Log of the likelihood = -58.11
Expected = brickface, 	 Predicted = sky, 	 Log of the likelihood = -56.16
Expected = brickface, 	 Predicted = path, 	 Log of the likelihood = -54.65
Expected = brickface, 	 Predicted = sky, 	 Log of the likelihood = -64.51
Expected = brickface, 	 Predicted = brickface, 	 Log of the likelihood = -54.27
Expected = brickface, 	 Predicted = sky, 	 Log of the likelihood = -58.34
Expected = brickface, 	 Predicted = brickface, 	 Log of the likelihood = -53.68
Expected = brickface, 	 Predicted = brickface, 	 Log of the likelihood = -56.35
Expected = brickface, 	 Predicted = brickface, 	 Log of the likelihood = -55.12
Expected = brickface, 	 Predicted = brickface, 	 Log of the likelihood = -53.56
Expected = brickface, 	 Predicted = path, 	 Log of the likelihood = -68.17
Expected = brickface, 	 Predicted = sky, 	 Log of the likelihood = -55.51
Expected = brickface, 	 Predicted = brickface, 	 Log of the likelihood = -54.75
Expected = brickface, 	 Predicted = brickface, 	 Log of the likelihood = -54.98




Era 14
Expected = path, 	 Predicted = brickface, 	 Log of the likelihood = -62.89
Expected = path, 	 Predicted = path, 	 Log of the likelihood = -54.85
Expected = path, 	 Predicted = sky, 	 Log of the likelihood = -60.07
Expected = path, 	 Predicted = sky, 	 Log of the likelihood = -56.11
Expected = path, 	 Predicted = brickface, 	 Log of the likelihood = -54.35
Expected = path, 	 Predicted = sky, 	 Log of the likelihood = -56.59
Expected = path, 	 Predicted = brickface, 	 Log of the likelihood = -52.76
Expected = path, 	 Predicted = sky, 	 Log of the likelihood = -55.49
Expected = path, 	 Predicted = brickface, 	 Log of the likelihood = -52.99
Expected = path, 	 Predicted = path, 	 Log of the likelihood = -59.90
Expected = path, 	 Predicted = brickface, 	 Log of the likelihood = -59.93
Expected = path, 	 Predicted = brickface, 	 Log of the likelihood = -54.06
Expected = path, 	 Predicted = brickface, 	 Log of the likelihood = -53.59
Expected = path, 	 Predicted = brickface, 	 Log of the likelihood = -52.93
Expected = path, 	 Predicted = brickface, 	 Log of the likelihood = -61.94
Expected = path, 	 Predicted = brickface, 	 Log of the likelihood = -58.45
Expected = path, 	 Predicted = brickface, 	 Log of the likelihood = -55.05
Expected = path, 	 Predicted = sky, 	 Log of the likelihood = -57.80
Expected = path, 	 Predicted = sky, 	 Log of the likelihood = -55.91
Expected = path, 	 Predicted = brickface, 	 Log of the likelihood = -53.95
Expected = path, 	 Predicted = path, 	 Log of the likelihood = -54.71
Expected = path, 	 Predicted = brickface, 	 Log of the likelihood = -52.57
Expected = path, 	 Predicted = brickface, 	 Log of the likelihood = -58.51
Expected = path, 	 Predicted = path, 	 Log of the likelihood = -52.51
Expected = path, 	 Predicted = path, 	 Log of the likelihood = -62.75
Expected = path, 	 Predicted = path, 	 Log of the likelihood = -54.50
Expected = path, 	 Predicted = sky, 	 Log of the likelihood = -58.08
Expected = path, 	 Predicted = brickface, 	 Log of the likelihood = -61.67
Expected = path, 	 Predicted = brickface, 	 Log of the likelihood = -53.20
Expected = path, 	 Predicted = sky, 	 Log of the likelihood = -65.69
Expected = path, 	 Predicted = path, 	 Log of the likelihood = -57.28
Expected = path, 	 Predicted = sky, 	 Log of the likelihood = -57.61
Expected = path, 	 Predicted = path, 	 Log of the likelihood = -63.44
Expected = path, 	 Predicted = path, 	 Log of the likelihood = -59.57
Expected = path, 	 Predicted = sky, 	 Log of the likelihood = -55.42
Expected = path, 	 Predicted = brickface, 	 Log of the likelihood = -54.47
Expected = path, 	 Predicted = path, 	 Log of the likelihood = -64.55
Expected = path, 	 Predicted = sky, 	 Log of the likelihood = -55.89
Expected = path, 	 Predicted = brickface, 	 Log of the likelihood = -59.49
Expected = path, 	 Predicted = brickface, 	 Log of the likelihood = -52.54
Expected = path, 	 Predicted = sky, 	 Log of the likelihood = -57.16
Expected = path, 	 Predicted = sky, 	 Log of the likelihood = -83.61
Expected = path, 	 Predicted = brickface, 	 Log of the likelihood = -58.13
Expected = path, 	 Predicted = brickface, 	 Log of the likelihood = -59.51
Expected = path, 	 Predicted = path, 	 Log of the likelihood = -57.10
Expected = path, 	 Predicted = sky, 	 Log of the likelihood = -59.80
Expected = path, 	 Predicted = brickface, 	 Log of the likelihood = -53.54
Expected = path, 	 Predicted = brickface, 	 Log of the likelihood = -52.94
Expected = path, 	 Predicted = brickface, 	 Log of the likelihood = -56.15
Expected = path, 	 Predicted = sky, 	 Log of the likelihood = -57.94
Expected = path, 	 Predicted = sky, 	 Log of the likelihood = -57.75
Expected = path, 	 Predicted = sky, 	 Log of the likelihood = -54.87
Expected = path, 	 Predicted = path, 	 Log of the likelihood = -55.84
Expected = path, 	 Predicted = path, 	 Log of the likelihood = -57.55
Expected = path, 	 Predicted = path, 	 Log of the likelihood = -53.83
Expected = path, 	 Predicted = sky, 	 Log of the likelihood = -56.59
Expected = path, 	 Predicted = sky, 	 Log of the likelihood = -55.57
Expected = path, 	 Predicted = sky, 	 Log of the likelihood = -57.78
Expected = path, 	 Predicted = sky, 	 Log of the likelihood = -92.53
Expected = path, 	 Predicted = path, 	 Log of the likelihood = -66.74
Expected = path, 	 Predicted = brickface, 	 Log of the likelihood = -61.29
Expected = path, 	 Predicted = sky, 	 Log of the likelihood = -58.89
Expected = path, 	 Predicted = brickface, 	 Log of the likelihood = -54.13
Expected = path, 	 Predicted = brickface, 	 Log of the likelihood = -54.84
Expected = path, 	 Predicted = sky, 	 Log of the likelihood = -58.52
Expected = path, 	 Predicted = brickface, 	 Log of the likelihood = -54.40
Expected = path, 	 Predicted = brickface, 	 Log of the likelihood = -53.87
Expected = path, 	 Predicted = sky, 	 Log of the likelihood = -57.04
Expected = path, 	 Predicted = sky, 	 Log of the likelihood = -58.87
Expected = path, 	 Predicted = brickface, 	 Log of the likelihood = -57.87
Expected = path, 	 Predicted = sky, 	 Log of the likelihood = -56.47
Expected = path, 	 Predicted = sky, 	 Log of the likelihood = -59.45
Expected = path, 	 Predicted = sky, 	 Log of the likelihood = -57.11
Expected = path, 	 Predicted = brickface, 	 Log of the likelihood = -56.93
Expected = path, 	 Predicted = brickface, 	 Log of the likelihood = -53.11
Expected = path, 	 Predicted = sky, 	 Log of the likelihood = -58.43
Expected = path, 	 Predicted = brickface, 	 Log of the likelihood = -52.46
Expected = path, 	 Predicted = sky, 	 Log of the likelihood = -55.92
Expected = path, 	 Predicted = sky, 	 Log of the likelihood = -57.34
Expected = path, 	 Predicted = sky, 	 Log of the likelihood = -68.39
Expected = path, 	 Predicted = path, 	 Log of the likelihood = -53.83
Expected = path, 	 Predicted = brickface, 	 Log of the likelihood = -59.05
Expected = path, 	 Predicted = brickface, 	 Log of the likelihood = -53.30
Expected = path, 	 Predicted = brickface, 	 Log of the likelihood = -52.17
Expected = path, 	 Predicted = path, 	 Log of the likelihood = -57.16
Expected = path, 	 Predicted = path, 	 Log of the likelihood = -56.36
Expected = path, 	 Predicted = brickface, 	 Log of the likelihood = -54.00
Expected = path, 	 Predicted = sky, 	 Log of the likelihood = -58.12
Expected = path, 	 Predicted = sky, 	 Log of the likelihood = -56.71
Expected = path, 	 Predicted = sky, 	 Log of the likelihood = -56.37
Expected = path, 	 Predicted = brickface, 	 Log of the likelihood = -60.54
Expected = path, 	 Predicted = brickface, 	 Log of the likelihood = -55.27
Expected = path, 	 Predicted = brickface, 	 Log of the likelihood = -53.93
Expected = path, 	 Predicted = brickface, 	 Log of the likelihood = -58.57
Expected = path, 	 Predicted = sky, 	 Log of the likelihood = -56.38
Expected = path, 	 Predicted = sky, 	 Log of the likelihood = -69.87
Expected = path, 	 Predicted = brickface, 	 Log of the likelihood = -59.46
Expected = path, 	 Predicted = sky, 	 Log of the likelihood = -58.84
Expected = path, 	 Predicted = path, 	 Log of the likelihood = -56.70
Expected = path, 	 Predicted = brickface, 	 Log of the likelihood = -52.93
Expected = sky, 	 Predicted = brickface, 	 Log of the likelihood = -62.89
Expected = sky, 	 Predicted = path, 	 Log of the likelihood = -54.85
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -60.07
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -56.11
Expected = sky, 	 Predicted = brickface, 	 Log of the likelihood = -54.35
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -56.59
Expected = sky, 	 Predicted = brickface, 	 Log of the likelihood = -52.76
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -55.49
Expected = sky, 	 Predicted = brickface, 	 Log of the likelihood = -52.99
Expected = sky, 	 Predicted = path, 	 Log of the likelihood = -59.90
Expected = sky, 	 Predicted = brickface, 	 Log of the likelihood = -59.93
Expected = sky, 	 Predicted = brickface, 	 Log of the likelihood = -54.06
Expected = sky, 	 Predicted = brickface, 	 Log of the likelihood = -53.59
Expected = sky, 	 Predicted = brickface, 	 Log of the likelihood = -52.93
Expected = sky, 	 Predicted = brickface, 	 Log of the likelihood = -61.94
Expected = sky, 	 Predicted = brickface, 	 Log of the likelihood = -58.45
Expected = sky, 	 Predicted = brickface, 	 Log of the likelihood = -55.05
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -57.80
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -55.91
Expected = sky, 	 Predicted = brickface, 	 Log of the likelihood = -53.95
Expected = sky, 	 Predicted = path, 	 Log of the likelihood = -54.71
Expected = sky, 	 Predicted = brickface, 	 Log of the likelihood = -52.57
Expected = sky, 	 Predicted = brickface, 	 Log of the likelihood = -58.51
Expected = sky, 	 Predicted = path, 	 Log of the likelihood = -52.51
Expected = sky, 	 Predicted = path, 	 Log of the likelihood = -62.75
Expected = sky, 	 Predicted = path, 	 Log of the likelihood = -54.50
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -58.08
Expected = sky, 	 Predicted = brickface, 	 Log of the likelihood = -61.67
Expected = sky, 	 Predicted = brickface, 	 Log of the likelihood = -53.20
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -65.69
Expected = sky, 	 Predicted = path, 	 Log of the likelihood = -57.28
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -57.61
Expected = sky, 	 Predicted = path, 	 Log of the likelihood = -63.44
Expected = sky, 	 Predicted = path, 	 Log of the likelihood = -59.57
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -55.42
Expected = sky, 	 Predicted = brickface, 	 Log of the likelihood = -54.47
Expected = sky, 	 Predicted = path, 	 Log of the likelihood = -64.55
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -55.89
Expected = sky, 	 Predicted = brickface, 	 Log of the likelihood = -59.49
Expected = sky, 	 Predicted = brickface, 	 Log of the likelihood = -52.54
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -57.16
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -83.61
Expected = sky, 	 Predicted = brickface, 	 Log of the likelihood = -58.13
Expected = sky, 	 Predicted = brickface, 	 Log of the likelihood = -59.51
Expected = sky, 	 Predicted = path, 	 Log of the likelihood = -57.10
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -59.80
Expected = sky, 	 Predicted = brickface, 	 Log of the likelihood = -53.54
Expected = sky, 	 Predicted = brickface, 	 Log of the likelihood = -52.94
Expected = sky, 	 Predicted = brickface, 	 Log of the likelihood = -56.15
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -57.94
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -57.75
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -54.87
Expected = sky, 	 Predicted = path, 	 Log of the likelihood = -55.84
Expected = sky, 	 Predicted = path, 	 Log of the likelihood = -57.55
Expected = sky, 	 Predicted = path, 	 Log of the likelihood = -53.83
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -56.59
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -55.57
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -57.78
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -92.53
Expected = sky, 	 Predicted = path, 	 Log of the likelihood = -66.74
Expected = sky, 	 Predicted = brickface, 	 Log of the likelihood = -61.29
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -58.89
Expected = sky, 	 Predicted = brickface, 	 Log of the likelihood = -54.13
Expected = sky, 	 Predicted = brickface, 	 Log of the likelihood = -54.84
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -58.52
Expected = sky, 	 Predicted = brickface, 	 Log of the likelihood = -54.40
Expected = sky, 	 Predicted = brickface, 	 Log of the likelihood = -53.87
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -57.04
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -58.87
Expected = sky, 	 Predicted = brickface, 	 Log of the likelihood = -57.87
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -56.47
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -59.45
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -57.11
Expected = sky, 	 Predicted = brickface, 	 Log of the likelihood = -56.93
Expected = sky, 	 Predicted = brickface, 	 Log of the likelihood = -53.11
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -58.43
Expected = sky, 	 Predicted = brickface, 	 Log of the likelihood = -52.46
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -55.92
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -57.34
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -68.39
Expected = sky, 	 Predicted = path, 	 Log of the likelihood = -53.83
Expected = sky, 	 Predicted = brickface, 	 Log of the likelihood = -59.05
Expected = sky, 	 Predicted = brickface, 	 Log of the likelihood = -53.30
Expected = sky, 	 Predicted = brickface, 	 Log of the likelihood = -52.17
